country,type_of_policy,current_framework
Saudi Arabia,Other restrictions,No known legislation.
Senegal,General right to encryption,Law on Cryptography (Law No. 2008-41): Article 12 provides that the use of encryption services and methods is free.
Senegal,Import/export controls,"Law on Cryptography (Law No. 2008-41): Article 12 provides that the supply, import and export of means of cryptology ensuring exclusively the functions of authentication and integrity control are free. However, Article 14 provides that the supply or importation of a means of cryptology which does not solely perform functions of authentication and integrity control requires approval from the National Cryptology Commission."
Senegal,Licensing/registration requirements,Law on Cryptography (Law No. 2008-41): Article 16 provides that bodies exercising cryptology services must be licenced by the National Cryptology Commission.
Senegal,Min/max standards,"Law on Cryptography (Law No. 2008-41): Article 13 allows the National Cryptology Commission (NCC) to set down rules on the maximum size of encryption keys, and the NCC has set the maximum size at 128 bits (Article 13 of Decree No. 2010-1209, as amended by Decree No. 2012-1508)."
Senegal,Powers to intercept/decrypt encrypted communications,No known legislation.
Senegal,Other restrictions,No known legislation.
Serbia,General right to encryption,No known legislation.
Serbia,Import/export controls,No known legislation.
Serbia,Licensing/registration requirements,No known legislation.
Serbia,Min/max standards,No known legislation.
Serbia,Powers to intercept/decrypt encrypted communications,No known legislation.
Serbia,Other restrictions,No known legislation.
Seychelles,General right to encryption,No known legislation.
Seychelles,Import/export controls,No known legislation.
Seychelles,Licensing/registration requirements,No known legislation.
Seychelles,Min/max standards,No known legislation.
Seychelles,Powers to intercept/decrypt encrypted communications,No known legislation.
Seychelles,Other restrictions,No known legislation.
Sierra Leone,General right to encryption,No known legislation.
Sierra Leone,Import/export controls,No known legislation.
Sierra Leone,Licensing/registration requirements,No known legislation.
Sierra Leone,Min/max standards,No known legislation.
Sierra Leone,Powers to intercept/decrypt encrypted communications,No known legislation.
Sierra Leone,Other restrictions,No known legislation.
Singapore,General right to encryption,No known legislation.
Singapore,Import/export controls,No known legislation.
Singapore,Licensing/registration requirements,No known legislation.
Singapore,Min/max standards,No known legislation.
Singapore,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Code: Section 40 allows the Public Prosecutor, by order, to authorise a police officer or an authorised person to exercise the power to (a) access any information, code or technology which has the capability of retransforming or unscrambling encrypted data into readable and comprehensible format or text for the purposes of investigating the arrestable offence; (b) require (i) any person whom he reasonably suspects of using a computer in connection with an arrestable offence or of having used it in this way; or (ii) any person having charge of, or otherwise concerned with the operation of, such computer, to provide him with such reasonable technical and other assistance as he may require for the purposes of paragraph (a); and (c) require any person whom he reasonably suspects to be in possession of any decryption information to grant him access to such decryption information as may be necessary to decrypt any data required for the purposes of investigating the arrestable offence. Failure to do so is punishable by up to three yearsâ€™ imprisonment and/or a fine of up to SGD 10,000."
Singapore,Other restrictions,No known legislation.
Slovakia,General right to encryption,No known legislation.
Slovakia,Import/export controls,No known legislation.
Slovakia,Licensing/registration requirements,No known legislation.
Slovakia,Min/max standards,No known legislation.
Slovakia,Powers to intercept/decrypt encrypted communications,No known legislation.
Slovakia,Other restrictions,No known legislation.
Slovenia,General right to encryption,No known legislation.
Slovenia,Import/export controls,No known legislation.
Slovenia,Licensing/registration requirements,No known legislation.
Slovenia,Min/max standards,No known legislation.
Slovenia,Powers to intercept/decrypt encrypted communications,No known legislation.
Slovenia,Other restrictions,No known legislation.
Solomon Islands,General right to encryption,No known legislation.
Solomon Islands,Import/export controls,No known legislation.
Solomon Islands,Licensing/registration requirements,No known legislation.
Solomon Islands,Min/max standards,No known legislation.
Solomon Islands,Powers to intercept/decrypt encrypted communications,No known legislation.
Solomon Islands,Other restrictions,No known legislation.
Somalia,General right to encryption,No known legislation.
Somalia,Import/export controls,No known legislation.
Somalia,Licensing/registration requirements,No known legislation.
Somalia,Min/max standards,No known legislation.
Somalia,Powers to intercept/decrypt encrypted communications,No known legislation.
Somalia,Other restrictions,No known legislation.
South Africa,General right to encryption,No known legislation.
South Africa,Import/export controls,No known legislation.
South Africa,Licensing/registration requirements,"Electronic Communications and Transactions Act 25 of 2002: Section 29 establishes a register of all cryptography providers. Unless they are registered, a cryptography provide cannot provide cryptography products."
South Africa,Min/max standards,No known legislation.
South Africa,Powers to intercept/decrypt encrypted communications,"Regulation of Interception of Communications and Provision of Communication-Related Information Act 2002: Section 21 allows for application to be made to a judge for a ""decryption order"" which would compel a person who has a decryption key to provide it. Failure to do is punishable with up to ten years' imprisonment or a fine of up to ZAR 2,000,000(and, for a legal entity, a fine of up to ZAR 5,000,000)."
South Africa,Other restrictions,No known legislation.
South Korea,General right to encryption,No known legislation.
South Korea,Import/export controls,No known legislation.
South Korea,Licensing/registration requirements,No known legislation.
South Korea,Min/max standards,No known legislation.
South Korea,Powers to intercept/decrypt encrypted communications,No known legislation.
South Korea,Other restrictions,No known legislation.
South Sudan,General right to encryption,No known legislation.
South Sudan,Import/export controls,No known legislation.
South Sudan,Licensing/registration requirements,No known legislation.
South Sudan,Min/max standards,No known legislation.
South Sudan,Powers to intercept/decrypt encrypted communications,No known legislation.
South Sudan,Other restrictions,No known legislation.
Spain,General right to encryption,No known legislation.
Spain,Import/export controls,No known legislation.
Spain,Licensing/registration requirements,No known legislation.
Spain,Min/max standards,No known legislation.
Spain,Powers to intercept/decrypt encrypted communications,Law on Telecommunications 25/2007: The law requires the disclosure of encryption keys.
Spain,Other restrictions,No known legislation.
Sri Lanka,General right to encryption,No known legislation.
Sri Lanka,Import/export controls,No known legislation.
Sri Lanka,Licensing/registration requirements,No known legislation.
Sri Lanka,Min/max standards,No known legislation.
Sri Lanka,Powers to intercept/decrypt encrypted communications,No known legislation.
Sri Lanka,Other restrictions,No known legislation.
Sudan,General right to encryption,No known legislation.
Sudan,Import/export controls,No known legislation.
Sudan,Licensing/registration requirements,No known legislation.
Sudan,Min/max standards,No known legislation.
Sudan,Powers to intercept/decrypt encrypted communications,No known legislation.
Sudan,Other restrictions,No known legislation.
Suriname,General right to encryption,No known legislation.
Suriname,Import/export controls,No known legislation.
Suriname,Licensing/registration requirements,No known legislation.
Suriname,Min/max standards,No known legislation.
Suriname,Powers to intercept/decrypt encrypted communications,No known legislation.
Suriname,Other restrictions,No known legislation.
Swaziland,General right to encryption,No known legislation.
Swaziland,Import/export controls,No known legislation.
Swaziland,Licensing/registration requirements,No known legislation.
Swaziland,Min/max standards,No known legislation.
Swaziland,Powers to intercept/decrypt encrypted communications,No known legislation.
Swaziland,Other restrictions,No known legislation.
Sweden,General right to encryption,No known legislation.
Sweden,Import/export controls,No known legislation.
Sweden,Licensing/registration requirements,No known legislation.
Sweden,Min/max standards,No known legislation.
Sweden,Powers to intercept/decrypt encrypted communications,No known legislation.
Sweden,Other restrictions,No known legislation.
Switzerland,General right to encryption,No known legislation.
Switzerland,Import/export controls,No known legislation.
Switzerland,Licensing/registration requirements,No known legislation.
Switzerland,Min/max standards,No known legislation.
Switzerland,Powers to intercept/decrypt encrypted communications,No known legislation.
Switzerland,Other restrictions,No known legislation.
Syria,General right to encryption,No known legislation.
Syria,Import/export controls,No known legislation.
Syria,Licensing/registration requirements,No known legislation.
Syria,Min/max standards,No known legislation.
Syria,Powers to intercept/decrypt encrypted communications,No known legislation.
Syria,Other restrictions,No known legislation.
Taiwan,General right to encryption,No known legislation.
Taiwan,Import/export controls,No known legislation.
Taiwan,Licensing/registration requirements,No known legislation.
Taiwan,Min/max standards,No known legislation.
Taiwan,Powers to intercept/decrypt encrypted communications,No known legislation.
Taiwan,Other restrictions,No known legislation.
Tajikistan,General right to encryption,No known legislation.
Tajikistan,Import/export controls,No known legislation.
Tajikistan,Licensing/registration requirements,No known legislation.
Tajikistan,Min/max standards,No known legislation.
Tajikistan,Powers to intercept/decrypt encrypted communications,No known legislation.
Tajikistan,Other restrictions,No known legislation.
Tanzania,General right to encryption,No known legislation.
Tanzania,Import/export controls,No known legislation.
Tanzania,Licensing/registration requirements,No known legislation.
Tanzania,Min/max standards,No known legislation.
Tanzania,Powers to intercept/decrypt encrypted communications,No known legislation.
Tanzania,Other restrictions,No known legislation.
Thailand,General right to encryption,No known legislation.
Thailand,Import/export controls,No known legislation.
Thailand,Licensing/registration requirements,No known legislation.
Thailand,Min/max standards,No known legislation.
Thailand,Powers to intercept/decrypt encrypted communications,"Computer Crime Act: Section 18 allows a police officer, if they have received a warrant under section 19, to decode any person's computer data or instruct any person related to the encryption of computer data to decode the computer data or cooperate with a relevant competent official in such decoding. Failure to comply with such an order is punishable with a fine of up to THB 200,000 and a further daily fine of up to THB 5,000 until they have so complied. In 2017, the Computer Crime Act was amended by the Computer Crime (No. 2) Act but sections 18 and 19 were not materially amended as they relate to encryption."
Thailand,Other restrictions,No known legislation.
The Netherlands,General right to encryption,No known legislation
The Netherlands,Import/export controls,No known legislation
The Netherlands,Licensing/registration requirements,No known legislation
The Netherlands,Min/max standards,No known legislation
The Netherlands,Powers to intercept/decrypt encrypted communications,Criminal Procedure Code: Article 126nh allows an investigating judge to order someone (although not a suspect) to decrypt any encrypted data.
The Netherlands,Other restrictions,No known legislation
Timor-Leste,General right to encryption,No known legislation.
Timor-Leste,Import/export controls,No known legislation.
Timor-Leste,Licensing/registration requirements,No known legislation.
Timor-Leste,Min/max standards,No known legislation.
Timor-Leste,Powers to intercept/decrypt encrypted communications,No known legislation.
Timor-Leste,Other restrictions,No known legislation.
Togo,General right to encryption,No known legislation.
Togo,Import/export controls,No known legislation.
Togo,Licensing/registration requirements,No known legislation.
Togo,Min/max standards,No known legislation.
Togo,Powers to intercept/decrypt encrypted communications,No known legislation.
Togo,Other restrictions,No known legislation.
Tonga,General right to encryption,No known legislation.
Tonga,Import/export controls,No known legislation.
Tonga,Licensing/registration requirements,No known legislation.
Tonga,Min/max standards,No known legislation.
Tonga,Powers to intercept/decrypt encrypted communications,"Computer Crimes Act, 2003: Section 10(1) provides that a person who is in possession or control of a computer, computer system, computer data or data storage medium that is the subject of a search under section 9 shall permit, and assist if required, the person making the search to (...) (d) obtain an intelligible output from a computer system in a format that can be read. Failure to do so is punishable by up to two years' imprisonment and/or a fine of up to 10,000 TOP."
Tonga,Other restrictions,No known legislation.
Trinidad and Tobago,General right to encryption,No known legislation.
Trinidad and Tobago,Import/export controls,No known legislation.
Trinidad and Tobago,Licensing/registration requirements,No known legislation.
Trinidad and Tobago,Min/max standards,No known legislation.
Trinidad and Tobago,Powers to intercept/decrypt encrypted communications,"Interception of Communications Act: Section 15 allows for application to be made to a judge for a """"disclosure order"""". Where a disclosure order is made, the subject must either disclose the key or the information which is encrypted in an intelligible format. Failure to comply with a disclosure order commits is an offence punishable by up to one year's imprisonment and a fine of up to TTD 5,000 (s. 16(7)).
 Computer Misuse Act: Section 16 applies in relation to offences committee under the Computer Misuse Act or about to be so committed. Section 16(2) allows a magistrate to issue a search warrant to a police officer. Section 16(5)(a)(iii) provides that a police officer executing a search warrant shall have access to â€œany information, code or technology which has the capability of retransforming or unscrambling encrypted program or data held in or available to such computer into readable and comprehensible format or text for the purpose of investigating any offence under this Act or any other offence which has been disclosed in the course of the lawful exercise of the powers under this section.â€ Section 16(5)(c) provides that the police officer is also â€œentitled to require any person in possession of decryption information to grant him or the authorised person access to such decryption information necessary to decrypt data required for the purpose of investigating an offence.â€ Failure to comply with such a request is an offence punishable with up to two yearsâ€™ imprisonment and a fine of TTD 15,000 (s. 16(6))."
Trinidad and Tobago,Other restrictions,No known legislation.
Tunisia,General right to encryption,No known legislation.
Tunisia,Import/export controls,No known legislation.
Tunisia,Licensing/registration requirements,"Telecommunications Code: Article 9 allows the government to set down by decree permissible conditions and procedures for the use of encryption means or services through the public telecommunications networks and the exercise of the related activities. The use, manufacturer, importation, exportation, holding for sale, distribution for free or sale of cryptological methods or services contrary to any such decree is punishable by between six months' and five years' imprisonment and/or a fine of between TND 1,000 and TND 5,000 (Article 87).
 Decree No. 97-501 of 14 March 1997: Article 11 prohibits the provision of encryption technologies without prior approval from the relevant minister.
 Decree No. 2001-2727 of 20 November 2001: This Decree sets out the permissible conditions and procedures for the use of encryption means or services through the public telecommunications networks."
Tunisia,Min/max standards,No known legislation.
Tunisia,Powers to intercept/decrypt encrypted communications,No known legislation.
Tunisia,Other restrictions,No known legislation.
Turkey,General right to encryption,No known legislation.
Turkey,Import/export controls,No known legislation.
Turkey,Licensing/registration requirements,No known legislation.
Turkey,Min/max standards,No known legislation.
Turkey,Powers to intercept/decrypt encrypted communications,No known legislation.
Turkey,Other restrictions,No known legislation.
Turkmenistan,General right to encryption,No known legislation.
Turkmenistan,Import/export controls,No known legislation.
Turkmenistan,Licensing/registration requirements,No known legislation.
Turkmenistan,Min/max standards,No known legislation.
Turkmenistan,Powers to intercept/decrypt encrypted communications,No known legislation.
Turkmenistan,Other restrictions,No known legislation.
Tuvalu,General right to encryption,No known legislation.
Tuvalu,Import/export controls,No known legislation.
Tuvalu,Licensing/registration requirements,No known legislation.
Tuvalu,Min/max standards,No known legislation.
Tuvalu,Powers to intercept/decrypt encrypted communications,No known legislation.
Tuvalu,Other restrictions,No known legislation.
Uganda,General right to encryption,No known legislation.
Uganda,Import/export controls,No known legislation.
Uganda,Licensing/registration requirements,No known legislation.
Uganda,Min/max standards,No known legislation.
Uganda,Powers to intercept/decrypt encrypted communications,"Regulation of Interception of Communications Act, 2010: Section 10(1) allows an authorised person, where they believe that a key to protected information is in the possession of any person and that a requirement that they get access to that information is necessary for a specified reason, they may impose a ""disclosure requirement"" in respect of that information. A disclosure requirement requires that person to use the key to get access to the information and provide it in an intelligible form (s. 10(3)). Failure to comply is punishable with up to five years' imprisonment and/or a fine."
Uganda,Other restrictions,No known legislation.
Ukraine,General right to encryption,No known legislation.
Ukraine,Import/export controls,No known legislation.
Ukraine,Licensing/registration requirements,No known legislation.
Ukraine,Min/max standards,No known legislation.
Ukraine,Powers to intercept/decrypt encrypted communications,No known legislation.
Ukraine,Other restrictions,No known legislation.
United Arab Emirates,General right to encryption,No known legislation.
United Arab Emirates,Import/export controls,No known legislation.
United Arab Emirates,Licensing/registration requirements,No known legislation.
United Arab Emirates,Min/max standards,No known legislation.
United Arab Emirates,Powers to intercept/decrypt encrypted communications,No known legislation.
United Arab Emirates,Other restrictions,No known legislation.
United Kingdom,General right to encryption,No known legislation.
United Kingdom,Import/export controls,No known legislation.
United Kingdom,Licensing/registration requirements,No known legislation.
United Kingdom,Min/max standards,No known legislation.
United Kingdom,Powers to intercept/decrypt encrypted communications,"Regulation of Investigatory Powers Act 2000: Part III regulates the investigation of electronic data protected by encryption. It allows for certain law enforcement agencies, normally with judicial authorisation, to require a person holding encrypted information to produce the data in an intelligible format or to provide the key for its disclosure. Failure to so is a criminal offence (punishable by up to five years' imprisonment in cases involving national security or child indecency, and by up to two years' imprisonment in all other cases).
 Investigatory Powers Act 2016 (not yet in force): Sections 254 to 259 regulate ""technical capability notices"". They will allow the Secretary of State, where they consider it to be ""necessary"" and ""proportionate"", and with the authorisation of a Judicial Commissioner, to impose a ""technical capability notice"" on a service provider imposing certain obligations. Such an obligation could include that they to remove encryption that they have applied on communications (but not encryption that those communicating have applied)."
United Kingdom,Other restrictions,No known legislation.
United States of America,General right to encryption,No known legislation.
United States of America,Import/export controls,No known legislation.
United States of America,Licensing/registration requirements,No known legislation.
United States of America,Min/max standards,No known legislation.
United States of America,Powers to intercept/decrypt encrypted communications,No known legislation.
United States of America,Other restrictions,No known legislation.
Uruguay,General right to encryption,No known legislation.
Uruguay,Import/export controls,No known legislation.
Uruguay,Licensing/registration requirements,No known legislation.
Uruguay,Min/max standards,No known legislation.
Uruguay,Powers to intercept/decrypt encrypted communications,No known legislation.
Uruguay,Other restrictions,No known legislation.
Uzbekistan,General right to encryption,No known legislation.
Uzbekistan,Import/export controls,No known legislation.
Uzbekistan,Licensing/registration requirements,No known legislation.
Uzbekistan,Min/max standards,No known legislation.
Uzbekistan,Powers to intercept/decrypt encrypted communications,No known legislation.
Uzbekistan,Other restrictions,No known legislation.
Vanuatu,General right to encryption,"Electronic Transactions Act: Section 24(2) provides that, subject to any regulations made under section 24(1), it is lawful for a person to use any encryption program or other encryption product if it has lawfully come into the possession of that person."
Vanuatu,Import/export controls,"Electronic Transactions Act: Section 24(1) allows the Minister to make regulations in relation to the use, import and export of encryption programmes and products, and to prohibit the export of encryption programmes and products. None, however, appear to have been made."
Vanuatu,Licensing/registration requirements,"Electronic Transactions Act: Section 24(1) allows the Minister to make regulations in relation to the use, import and export of encryption programmes and products, and to prohibit the export of encryption programmes and products. None, however, appear to have been made."
Vanuatu,Min/max standards,No known legislation.
Vanuatu,Powers to intercept/decrypt encrypted communications,No known legislation.
Vanuatu,Other restrictions,No known legislation.
Vatican City,General right to encryption,No known legislation.
Vatican City,Import/export controls,No known legislation.
Vatican City,Licensing/registration requirements,No known legislation.
Vatican City,Min/max standards,No known legislation.
Vatican City,Powers to intercept/decrypt encrypted communications,No known legislation.
Vatican City,Other restrictions,No known legislation.
Venezuela,General right to encryption,No known legislation.
Venezuela,Import/export controls,No known legislation.
Venezuela,Licensing/registration requirements,No known legislation.
Venezuela,Min/max standards,No known legislation.
Venezuela,Powers to intercept/decrypt encrypted communications,No known legislation.
Venezuela,Other restrictions,No known legislation.
Vietnam,General right to encryption,No known legislation.
Vietnam,Import/export controls,Law on Network Information Security: Article 34 provides that the importation or exportation of cryptographic products requires a licence.
Vietnam,Licensing/registration requirements,Law on Network Information Security: Article 31 requires businesses trading in encryption products to obtain a licence to do so from the Government Cipher Committee. Articles 31 and 32 set out the requirements and the process for doing so.
Vietnam,Min/max standards,No known legislation.
Vietnam,Powers to intercept/decrypt encrypted communications,No known legislation.
Vietnam,Other restrictions,No known legislation.
Yemen,General right to encryption,No known legislation.
Yemen,Import/export controls,No known legislation.
Yemen,Licensing/registration requirements,No known legislation.
Yemen,Min/max standards,No known legislation.
Yemen,Powers to intercept/decrypt encrypted communications,No known legislation.
Yemen,Other restrictions,No known legislation.
Zambia,General right to encryption,No known legislation.
Zambia,Import/export controls,No known legislation.
Zambia,Licensing/registration requirements,"Electronic Communications and Transactions Act, 2009: Sections 22 and 23 establish a register of all cryptography providers. Unless they are registered with the Communications Authority, a cryptography provide cannot provide cryptography products."
Zambia,Min/max standards,No known legislation.
Zambia,Powers to intercept/decrypt encrypted communications,No known legislation.
Zambia,Other restrictions,"Electronic Communications and Transactions Act, 2009: Sections 85 to 92 regulate the use of encryption but place no limitations on its use, save that a person cannot release decrypted data belonging to another person without their consent or if there is a court order so requiring."
Zimbabwe,General right to encryption,No known legislation.
Zimbabwe,Import/export controls,No known legislation.
Zimbabwe,Licensing/registration requirements,No known legislation.
Zimbabwe,Min/max standards,No known legislation.
Zimbabwe,Powers to intercept/decrypt encrypted communications,"Interception of Communications Act: Part III regulates the investigation of electronic data protected by encryption. It allows for certain law enforcement agencies, upon permission from the Minister of Transport and Communications, to require a person holding encrypted information to provide the keys for its disclosure or the data itself in an intelligible format. Failure to provide the key is a criminal offence punishable by up to five years' imprisonment and/or a fine."
Zimbabwe,Other restrictions,No known legislation.
